id,pais,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,agno
220,Argentina,3,3,1,1,1,3,2,1,Grupo B,1990
221,Rusia,2,3,1,0,2,4,4,0,Grupo B,1990
222,Brasil,6,3,3,0,0,4,1,3,Grupo C,1990
223,Costa Rica,4,3,2,0,1,3,2,1,Grupo C,1990
224,Escocia,2,3,1,0,2,2,3,–1,Grupo C,1990
225,Suecia,0,3,0,0,3,3,6,–3,Grupo C,1990
226,Alemania,5,3,2,1,0,10,3,7,Grupo D,1990
227,Yugoslavia,4,3,2,0,1,6,5,1,Grupo D,1990
228,Colombia,3,3,1,1,1,3,2,1,Grupo D,1990
229,Emiratos Árabes Unidos,0,3,0,0,3,2,11,–9,Grupo D,1990
230,España,5,3,2,1,0,5,2,3,Grupo E,1990
231,Bélgica,4,3,2,0,1,6,3,3,Grupo E,1990
232,Uruguay,3,3,1,1,1,2,3,–1,Grupo E,1990
233,Corea del Sur,0,3,0,0,3,1,6,–5,Grupo E,1990
234,Inglaterra,4,3,1,2,0,2,1,1,Grupo F,1990
235,Irlanda,3,3,0,3,0,2,2,0,Grupo F,1990
236,Países Bajos,3,3,0,3,0,2,2,0,Grupo F,1990
237,Egipto,2,3,0,2,1,1,2,–1,Grupo F,1990
238,Rumania,6,3,2,0,1,5,5,0,Grupo A,1994
239,Suiza,4,3,1,1,1,5,4,1,Grupo A,1994
240,Estados Unidos,4,3,1,1,1,3,3,0,Grupo A,1994
241,Colombia,3,3,1,0,2,4,5,–1,Grupo A,1994
242,Brasil,7,3,2,1,0,6,1,5,Grupo B,1994
243,Suecia,5,3,1,2,0,6,4,2,Grupo B,1994
244,Rusia,3,3,1,0,2,7,6,1,Grupo B,1994
245,Camerún,1,3,0,1,2,3,11,–8,Grupo B,1994
246,Alemania,7,3,2,1,0,5,3,2,Grupo C,1994
247,España,5,3,1,2,0,6,4,2,Grupo C,1994
248,Corea del Sur,2,3,0,2,1,4,5,–1,Grupo C,1994
249,Bolivia,1,3,0,1,2,1,4,–3,Grupo C,1994
250,Nigeria,6,3,2,0,1,6,2,4,Grupo D,1994
251,Bulgaria,6,3,2,0,1,6,3,3,Grupo D,1994
252,Argentina,6,3,2,0,1,6,3,3,Grupo D,1994
253,Grecia,0,3,0,0,3,0,10,-10,Grupo D,1994
254,México,4,3,1,1,1,3,3,0,Grupo E,1994
