Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Irlanda,3,3,0,3,0,2,2,0,Grupo F,1990
Corea del Sur,0,3,0,0,3,1,6,–5,Grupo E,1990
Unión Soviética,2,3,1,0,2,4,4,0,Grupo B,1990
Uruguay,3,3,1,1,1,2,3,–1,Grupo E,1990
Emiratos Árabes Unidos,0,3,0,0,3,2,11,–9,Grupo D,1990
Rumania,3,3,1,1,1,4,3,1,Grupo B,1990
Brasil,6,3,3,0,0,4,1,3,Grupo C,1990
Inglaterra,4,3,1,2,0,2,1,1,Grupo F,1990
Argentina,3,3,1,1,1,3,2,1,Grupo B,1990
Colombia,3,3,1,0,2,4,5,–1,Grupo A,1994
Grecia,0,3,0,0,3,0,10,-10,Grupo D,1994
Bulgaria,6,3,2,0,1,6,3,3,Grupo D,1994
Irlanda,4,3,1,1,1,2,2,0,Grupo E,1994
Rusia,3,3,1,0,2,7,6,1,Grupo B,1994
Nigeria,6,3,2,0,1,6,2,4,Grupo D,1994
Alemania,7,3,2,1,0,5,3,2,Grupo C,1994
Países Bajos,6,3,2,0,1,4,3,1,Grupo F,1994
Brasil,7,3,2,1,0,6,1,5,Grupo B,1994
Corea del Sur,2,3,0,2,1,4,5,–1,Grupo C,1994
Suiza,4,3,1,1,1,5,4,1,Grupo A,1994
Bolivia,1,3,0,1,2,1,4,–3,Grupo C,1994
Italia,4,3,1,1,1,2,2,0,Grupo E,1994
España,5,3,1,2,0,6,4,2,Grupo C,1994
Marruecos,0,3,0,0,3,2,5,–3,Grupo F,1994
Suecia,5,3,1,2,0,6,4,2,Grupo B,1994
Camerún,1,3,0,1,2,3,11,–8,Grupo B,1994
Argentina,6,3,2,0,1,6,3,3,Grupo D,1994
Arabia Saudita,6,3,2,0,1,4,3,1,Grupo F,1994
Rumania,6,3,2,0,1,5,5,0,Grupo A,1994
Estados Unidos,4,3,1,1,1,3,3,0,Grupo A,1994
Bélgica,6,3,2,0,1,2,1,1,Grupo F,1994
México,4,3,1,1,1,3,3,0,Grupo E,1994
Noruega,4,3,1,1,1,1,1,0,Grupo E,1994
Rumania,7,3,2,1,0,4,2,2,Grupo G,1998
Croacia,6,3,2,0,1,4,2,2,Grupo H,1998
Camerún,2,3,0,2,1,2,5,–3,Grupo B,1998
Arabia Saudita,1,3,0,1,2,2,7,–5,Grupo C,1998
Brasil,6,3,2,0,1,6,3,3,Grupo A,1998
Chile,3,3,0,3,0,4,4,0,Grupo B,1998
Noruega,5,3,1,2,0,5,4,1,Grupo A,1998
Dinamarca,4,3,1,1,1,3,3,0,Grupo C,1998
Estados Unidos,0,3,0,0,3,1,5,–4,Grupo F,1998
R. F. Yugoslavia,7,3,2,1,0,4,2,2,Grupo F,1998
Corea del Sur,1,3,0,1,2,2,9,–7,Grupo E,1998
Túnez,1,3,0,1,2,1,4,–3,Grupo G,1998
Marruecos,4,3,1,1,1,5,5,0,Grupo A,1998
Países Bajos,5,3,1,2,0,7,2,5,Grupo E,1998
Escocia,1,3,0,1,2,2,6,–4,Grupo A,1998
Alemania,7,3,2,1,0,6,2,4,Grupo F,1998
Sudáfrica,2,3,0,2,1,3,6,–3,Grupo C,1998
Francia,9,3,3,0,0,9,1,8,Grupo C,1998
Irán,3,3,1,0,2,2,4,–2,Grupo F,1998
Austria,2,3,0,2,1,3,4,–1,Grupo B,1998
Jamaica,3,3,1,0,2,3,9,–6,Grupo H,1998
Italia,7,3,2,1,0,7,3,4,Grupo B,1998
Paraguay,5,3,1,2,0,3,1,2,Grupo D,1998
Colombia,3,3,1,0,2,1,3,–2,Grupo G,1998
México,5,3,1,2,0,7,5,2,Grupo E,1998
España,4,3,1,1,1,8,4,4,Grupo D,1998
Argentina,9,3,3,0,0,7,0,7,Grupo H,1998
Bélgica,3,3,0,3,0,3,3,0,Grupo E,1998
Japón,0,3,0,0,3,1,4,–3,Grupo H,1998
Nigeria,6,3,2,0,1,5,5,0,Grupo D,1998
Bulgaria,1,3,0,1,2,1,7,–6,Grupo D,1998
