year,date,home_team,away_team,home_team_score,away_team_score,shoot_out,home_team_result,away_team_result,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_avg_fifa_points,away_team_avg_fifa_points,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
2002,2002-06-05 00:00:00,Estados Unidos,Portugal,3,2,No,Win,Lose,13.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-10 00:00:00,Corea del Sur,Estados Unidos,1,1,No,Draw,Draw,40.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-10 00:00:00,Portugal,Polonia,4,0,No,Win,Lose,5.0,38.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-14 00:00:00,Portugal,Corea del Sur,0,1,No,Lose,Win,5.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-14 00:00:00,Polonia,Estados Unidos,3,1,No,Win,Lose,38.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-01 00:00:00,Irlanda,Camerún,1,1,No,Draw,Draw,15.0,17.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-01 00:00:00,Alemania,Arabia Saudita,8,0,No,Win,Lose,11.0,34.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-05 00:00:00,Alemania,Irlanda,1,1,No,Draw,Draw,11.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-06 00:00:00,Camerún,Arabia Saudita,1,0,No,Win,Lose,17.0,34.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-11 00:00:00,Camerún,Alemania,0,2,No,Lose,Win,17.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-11 00:00:00,Arabia Saudita,Irlanda,0,3,No,Lose,Win,34.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-02 00:00:00,Argentina,Nigeria,1,0,No,Win,Lose,3.0,27.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-02 00:00:00,Inglaterra,Suecia,1,1,No,Draw,Draw,12.0,19.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-07 00:00:00,Suecia,Nigeria,2,1,No,Win,Lose,19.0,27.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-07 00:00:00,Argentina,Inglaterra,0,1,No,Lose,Win,3.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-12 00:00:00,Suecia,Argentina,1,1,No,Draw,Draw,19.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-12 00:00:00,Nigeria,Inglaterra,0,0,No,Draw,Draw,27.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-03 00:00:00,Croacia,México,0,1,No,Lose,Win,21.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-03 00:00:00,Italia,Ecuador,2,0,No,Win,Lose,6.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-08 00:00:00,Italia,Croacia,1,2,No,Lose,Win,6.0,21.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-09 00:00:00,México,Ecuador,2,1,No,Win,Lose,7.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,
