id,home,score,away,agno
488,Winner Match 43,Match 45,Winner Match 38,1994
489,Winner Match 41,Match 46,Winner Match 42,1994
490,Winner Match 44,Match 47,Winner Match 37,1994
491,Winner Match 40,Match 48,Winner Match 39,1994
492,Winner Match 47,Match 49,Winner Match 45,1994
493,Winner Match 48,Match 50,Winner Match 46,1994
494,Loser Match 50,Match 51,Loser Match 49,1994
495,Winner Match 50,Match 52,Winner Match 49,1994
496,Brasil,2:1,Escocia,1998
497,Marruecos,2:2,Noruega,1998
498,Escocia,1:1,Noruega,1998
499,Brasil,3:0,Marruecos,1998
500,Escocia,0:3,Marruecos,1998
501,Brasil,1:2,Noruega,1998
502,Italia,2:2,Chile,1998
503,Camerún,1:1,Austria,1998
504,Chile,1:1,Austria,1998
505,Italia,3:0,Camerún,1998
506,Italia,2:1,Austria,1998
507,Chile,1:1,Camerún,1998
508,Arabia Saudita,0:1,Dinamarca,1998
509,Francia,3:0,Sudáfrica,1998
510,Sudáfrica,1:1,Dinamarca,1998
511,Francia,4:0,Arabia Saudita,1998
512,Francia,2:1,Dinamarca,1998
513,Sudáfrica,2:2,Arabia Saudita,1998
514,Paraguay,0:0,Bulgaria,1998
515,España,2:3,Nigeria,1998
516,Nigeria,1:0,Bulgaria,1998
517,España,0:0,Paraguay,1998
518,España,6:1,Bulgaria,1998
519,Nigeria,1:3,Paraguay,1998
520,Corea del Sur,1:3,México,1998
521,Países Bajos,0:0,Bélgica,1998
522,Bélgica,2:2,México,1998
523,Países Bajos,5:0,Corea del Sur,1998
524,Bélgica,1:1,Corea del Sur,1998
525,Países Bajos,2:2,México,1998
526,Serbia,1:0,Irán,1998
527,Alemania,2:0,Estados Unidos,1998
528,Alemania,2:2,Serbia,1998
529,Estados Unidos,1:2,Irán,1998
530,Alemania,2:0,Irán,1998
531,Estados Unidos,0:1,Serbia,1998
532,Inglaterra,2:0,Túnez,1998
533,Rumania,1:0,Colombia,1998
534,Colombia,1:0,Túnez,1998
535,Rumania,2:1,Inglaterra,1998
536,Rumania,1:1,Túnez,1998
537,Colombia,0:2,Inglaterra,1998
538,Argentina,1:0,Japón,1998
539,Jamaica,1:3,Croacia,1998
540,Japón,0:1,Croacia,1998
541,Argentina,5:0,Jamaica,1998
542,Japón,1:2,Jamaica,1998
543,Argentina,1:0,Croacia,1998
544,Winner Grupo B,Match 49,Runners-up Grupo A,1998
545,Winner Grupo A,Match 50,Runners-up Grupo B,1998
546,Winner Grupo C,Match 51,Runners-up Grupo D,1998
547,Winner Grupo D,Match 52,Runners-up Grupo C,1998
548,Winner Grupo F,Match 53,Runners-up Grupo E,1998
549,Winner Grupo E,Match 54,Runners-up Grupo F,1998
550,Winner Grupo G,Match 55,Runners-up Grupo H,1998
551,Winner Grupo H,Match 56,Runners-up Grupo G,1998
552,Winner Match 49,Match 57,Winner Match 51,1998
553,Winner Match 50,Match 58,Winner Match 52,1998
554,Winner Match 54,Match 59,Winner Match 56,1998
555,Winner Match 53,Match 60,Winner Match 55,1998
556,Winner Match 58,Match 61,Winner Match 59,1998
557,Winner Match 57,Match 62,Winner Match 60,1998
558,Loser Match 61,Match 63,Loser Match 62,1998
559,Winner Match 61,Match 64,Winner Match 62,1998
560,Francia,0:1,Senegal,2002
561,Uruguay,1:2,Dinamarca,2002
562,Dinamarca,1:1,Senegal,2002
563,Francia,0:0,Uruguay,2002
564,Dinamarca,2:0,Francia,2002
565,Senegal,3:3,Uruguay,2002
566,Paraguay,2:2,Sudáfrica,2002
567,España,3:1,Eslovenia,2002
568,España,3:1,Paraguay,2002
569,Sudáfrica,1:0,Eslovenia,2002
570,Sudáfrica,2:3,España,2002
571,Eslovenia,1:3,Paraguay,2002
572,Brasil,2:1,Turquía,2002
573,China,0:2,Costa Rica,2002
574,Brasil,4:0,China,2002
575,Costa Rica,1:1,Turquía,2002
576,Costa Rica,2:5,Brasil,2002
577,Turquía,3:0,China,2002
578,Corea del Sur,2:0,Polonia,2002
579,Estados Unidos,3:2,Portugal,2002
580,Corea del Sur,1:1,Estados Unidos,2002
581,Portugal,4:0,Polonia,2002
582,Portugal,0:1,Corea del Sur,2002
583,Polonia,3:1,Estados Unidos,2002
584,Irlanda,1:1,Camerún,2002
585,Alemania,8:0,Arabia Saudita,2002
586,Alemania,1:1,Irlanda,2002
587,Camerún,1:0,Arabia Saudita,2002
588,Camerún,0:2,Alemania,2002
589,Arabia Saudita,0:3,Irlanda,2002
590,Argentina,1:0,Nigeria,2002
591,Inglaterra,1:1,Suecia,2002
592,Suecia,2:1,Nigeria,2002
593,Argentina,0:1,Inglaterra,2002
594,Suecia,1:1,Argentina,2002
595,Nigeria,0:0,Inglaterra,2002
596,Croacia,0:1,México,2002
597,Italia,2:0,Ecuador,2002
598,Italia,1:2,Croacia,2002
599,México,2:1,Ecuador,2002
600,México,1:1,Italia,2002
601,Ecuador,1:0,Croacia,2002
602,Japón,2:2,Bélgica,2002
603,Rusia,2:0,Túnez,2002
604,Japón,1:0,Rusia,2002
605,Túnez,1:1,Bélgica,2002
606,Túnez,0:2,Japón,2002
607,Bélgica,3:2,Rusia,2002
608,Winner Grupo E,Match 49,Runners-up Grupo B,2002
609,Winner Grupo A,Match 50,Runners-up Grupo F,2002
610,Winner Grupo F,Match 51,Runners-up Grupo A,2002
611,Winner Grupo B,Match 52,Runners-up Grupo E,2002
612,Winner Grupo G,Match 53,Runners-up Grupo D,2002
613,Winner Grupo C,Match 54,Runners-up Grupo H,2002
614,Winner Grupo H,Match 55,Runners-up Grupo C,2002
615,Winner Grupo D,Match 56,Runners-up Grupo G,2002
616,Winner Match 50,Match 57,Winner Match 54,2002
617,Winner Match 49,Match 58,Winner Match 53,2002
