Unnamed: 0,home,score,away,year
14,Francia,1:1,Unión Soviética,1986
27,Dinamarca,6:1,Uruguay,1986
3,Corea del Sur,1:1,Bulgaria,1986
49,Argentina,2:0,Bélgica,1986
24,Uruguay,1:1,Alemania Federal,1986
35,Portugal,1:3,Marruecos,1986
51,Argentina,3:2,Alemania Federal,1986
10,Paraguay,2:2,Bélgica,1986
41,Marruecos,0:1,Alemania Federal,1986
31,Portugal,1:0,Inglaterra,1986
11,Irak,0:1,México,1986
36,México,2:0,Bulgaria,1986
50,Francia,4:2,Bélgica,1986
16,Hungría,0:3,Francia,1986
46,Argentina,2:1,Inglaterra,1986
2,Italia,1:1,Argentina,1986
23,Argelia,0:3,España,1986
18,España,0:1,Brasil,1986
1,Argentina,3:1,Corea del Sur,1986
37,Unión Soviética,3:4,Bélgica,1986
22,Irlanda del Norte,0:3,Brasil,1986
26,Alemania Federal,2:1,Escocia,1986
4,Corea del Sur,2:3,Italia,1986
6,Bélgica,1:2,México,1986
12,Canadá,0:1,Francia,1986
29,Bélgica,1:2,España,1990
11,Camerún,0:4,Unión Soviética,1990
1,Estados Unidos,1:5,Checoslovaquia,1990
16,Suecia,1:2,Costa Rica,1990
48,Italia,3:4,Argentina,1990
2,Italia,1:0,Estados Unidos,1990
35,Irlanda,1:1,Países Bajos,1990
14,Brasil,1:0,Costa Rica,1990
47,Inglaterra,3:2,Camerún,1990
34,Inglaterra,1:0,Egipto,1990
4,Italia,2:0,Checoslovaquia,1990
51,Alemania Federal,1:0,Argentina,1990
7,Unión Soviética,0:2,Rumania,1990
31,Países Bajos,1:1,Egipto,1990
22,Alemania Federal,1:1,Colombia,1990
13,Costa Rica,1:0,Escocia,1990
8,Argentina,2:0,Unión Soviética,1990
37,Checoslovaquia,4:1,Costa Rica,1990
0,Italia,1:0,Austria,1990
6,Argentina,0:1,Camerún,1990
41,Italia,2:0,Uruguay,1990
19,Alemania Federal,4:1,Yugoslavia,1990
43,Inglaterra,1:0,Bélgica,1990
40,Irlanda,5:4,Rumania,1990
44,Yugoslavia,2:3,Argentina,1990
25,Uruguay,0:0,España,1990
9,Camerún,2:1,Rumania,1990
42,España,1:2,Yugoslavia,1990
5,Austria,2:1,Estados Unidos,1990
28,Corea del Sur,0:1,Uruguay,1990
20,Yugoslavia,1:0,Colombia,1990
3,Austria,0:1,Checoslovaquia,1990
24,Bélgica,2:0,Corea del Sur,1990
12,Brasil,2:1,Suecia,1990
32,Inglaterra,0:0,Países Bajos,1990
50,Italia,2:1,Inglaterra,1990
33,Irlanda,0:0,Egipto,1990
23,Yugoslavia,4:1,Emiratos Árabes Unidos,1990
45,Italia,1:0,Irlanda,1990
26,Corea del Sur,1:3,España,1990
36,Camerún,2:1,Colombia,1990
46,Alemania Federal,1:0,Checoslovaquia,1990
17,Brasil,1:0,Escocia,1990
49,Alemania Federal,4:3,Inglaterra,1990
39,Alemania Federal,2:1,Países Bajos,1990
10,Argentina,1:1,Rumania,1990
15,Suecia,1:2,Escocia,1990
38,Brasil,0:1,Argentina,1990
27,Bélgica,3:1,Uruguay,1990
21,Alemania Federal,5:1,Emiratos Árabes Unidos,1990
30,Inglaterra,1:1,Irlanda,1990
18,Emiratos Árabes Unidos,0:2,Colombia,1990
48,Bulgaria,1:2,Italia,1994
23,Argentina,0:2,Bulgaria,1994
17,Alemania,3:2,Corea del Sur,1994
15,Corea del Sur,0:0,Bolivia,1994
12,Alemania,1:0,Bolivia,1994
35,Bélgica,0:1,Arabia Saudita,1994
38,Arabia Saudita,1:3,Suecia,1994
2,Rumania,1:4,Suiza,1994
0,Estados Unidos,1:1,Suiza,1994
13,España,2:2,Corea del Sur,1994
14,Alemania,1:1,España,1994
46,Bulgaria,2:1,Alemania,1994
42,Nigeria,1:2,Italia,1994
21,Bulgaria,4:0,Grecia,1994
51,Brasil,3:2,Italia,1994
47,Rumania,4:5,Suecia,1994
33,Arabia Saudita,2:1,Marruecos,1994
36,Alemania,3:2,Bélgica,1994
22,Grecia,0:2,Nigeria,1994
8,Brasil,3:0,Camerún,1994
32,Bélgica,1:0,Países Bajos,1994
45,Países Bajos,2:3,Brasil,1994
7,Brasil,2:0,Rusia,1994
49,Suecia,0:1,Brasil,1994
4,Estados Unidos,0:1,Rumania,1994
19,Nigeria,3:0,Bulgaria,1994
11,Brasil,1:1,Suecia,1994
20,Argentina,2:1,Nigeria,1994
30,Bélgica,1:0,Marruecos,1994
5,Suiza,0:2,Colombia,1994
1,Colombia,1:3,Rumania,1994
26,Italia,1:0,Noruega,1994
50,Suecia,4:0,Bulgaria,1994
34,Marruecos,1:2,Países Bajos,1994
43,México,1:3,Bulgaria,1994
41,Brasil,1:0,Estados Unidos,1994
6,Camerún,2:2,Suecia,1994
24,Italia,0:1,Irlanda,1994
31,Países Bajos,2:1,Arabia Saudita,1994
16,Bolivia,1:3,España,1994
39,Rumania,3:2,Argentina,1994
9,Suecia,3:1,Rusia,1994
37,España,3:0,Suiza,1994
28,Irlanda,0:0,Noruega,1994
18,Argentina,4:0,Grecia,1994
25,Noruega,1:0,México,1994
3,Estados Unidos,2:1,Colombia,1994
29,Italia,1:1,México,1994
44,Italia,2:1,España,1994
40,Países Bajos,2:0,Irlanda,1994
10,Rusia,6:1,Camerún,1994
27,México,2:1,Irlanda,1994
50,Francia,1:0,Paraguay,1998;;;;
59,Alemania,0:3,Croacia,1998;;;;
49,Brasil,4:1,Chile,1998;;;;
42,Argentina,1:0,Japón,1998;;;;
4,Escocia,0:3,Marruecos,1998;;;;
27,Países Bajos,5:0,Corea del Sur,1998;;;;
46,Japón,1:2,Jamaica,1998;;;;
20,Nigeria,1:0,Bulgaria,1998;;;;
53,Países Bajos,2:1,R. F. Yugoslavia,1998;;;;
40,Rumania,1:1,Túnez,1998;;;;
43,Jamaica,1:3,Croacia,1998;;;;
62,Países Bajos,1:2,Croacia,1998;;;;
17,Sudáfrica,2:2,Arabia Saudita,1998;;;;
13,Francia,3:0,Sudáfrica,1998;;;;
8,Chile,1:1,Austria,1998;;;;
5,Brasil,1:2,Noruega,1998;;;;
9,Italia,3:0,Camerún,1998;;;;
2,Escocia,1:1,Noruega,1998;;;;
37,Rumania,1:0,Colombia,1998;;;;
22,España,6:1,Bulgaria,1998;;;;
51,Nigeria,1:4,Dinamarca,1998;;;;
33,Estados Unidos,1:2,Irán,1998;;;;
7,Camerún,1:1,Austria,1998;;;;
58,Países Bajos,2:1,Argentina,1998;;;;
25,Países Bajos,0:0,Bélgica,1998;;;;
24,Corea del Sur,1:3,México,1998;;;;
3,Brasil,3:0,Marruecos,1998;;;;
6,Italia,2:2,Chile,1998;;;;
60,Brasil,4:2,Países Bajos,1998;;;;
45,Argentina,5:0,Jamaica,1998;;;;
16,Francia,2:1,Dinamarca,1998;;;;
52,Alemania,2:1,México,1998;;;;
10,Italia,2:1,Austria,1998;;;;
41,Colombia,0:2,Inglaterra,1998;;;;
61,Francia,2:1,Croacia,1998;;;;
18,Paraguay,0:0,Bulgaria,1998;;;;
0,Brasil,2:1,Escocia,1998;;;;
35,Estados Unidos,0:1,R. F. Yugoslavia,1998;;;;
56,Italia,3:4,Francia,1998;;;;
28,Bélgica,1:1,Corea del Sur,1998;;;;
14,Sudáfrica,1:1,Dinamarca,1998;;;;
47,Argentina,1:0,Croacia,1998;;;;
19,España,2:3,Nigeria,1998;;;;
1,Marruecos,2:2,Noruega,1998;;;;
15,Francia,4:0,Arabia Saudita,1998;;;;
55,Argentina,4:3,Inglaterra,1998;;;;
11,Chile,1:1,Camerún,1998;;;;
44,Japón,0:1,Croacia,1998;;;;
12,Arabia Saudita,0:1,Dinamarca,1998;;;;
38,Colombia,1:0,Túnez,1998;;;;
54,Rumania,0:1,Croacia,1998;;;;
57,Brasil,3:2,Dinamarca,1998;;;;
34,Alemania,2:0,Irán,1998;;;;
29,Países Bajos,2:2,México,1998;;;;
32,Alemania,2:2,R. F. Yugoslavia,1998;;;;
26,Bélgica,2:2,México,1998;;;;
23,Nigeria,1:3,Paraguay,1998;;;;
48,Italia,1:0,Noruega,1998;;;;
21,España,0:0,Paraguay,1998;;;;
39,Rumania,2:1,Inglaterra,1998;;;;
63,Brasil,0:3,Francia,1998;;;;
31,Alemania,2:0,Estados Unidos,1998;;;;
36,Inglaterra,2:0,Túnez,1998;;;;
30,R. F. Yugoslavia,1:0,Irán,1998;;;;
55,Corea del Sur,2:1,Italia,2002
48,Alemania,1:0,Paraguay,2002
18,Corea del Sur,2:0,Polonia,2002
62,Corea del Sur,2:3,Turquía,2002
2,Dinamarca,1:1,Senegal,2002
3,Francia,0:0,Uruguay,2002
60,Alemania,1:0,Corea del Sur,2002
